week,config_add,shell_add,python_add,docs_add,unknown_add,terraform_add,config_del,shell_del,python_del,docs_del,unknown_del,terraform_del,commit_feat,commit_refactor,commit_fix,commit_style,commit_test,commit_other,commit_docs,commit_chore,commit_ci,commit_perf,python_package,terraform_module,design_spec,uml_diagram,go_add,go_del,pypi_package,helm_chart,dockerfile,break%,deep_work%,deep_life%,overtime,vacation_days,work_days,life_days,public_holidays,life_hours,work_hours,sick_days
2022_41,434.0,,3648.0,1290.0,5.0,,85.0,,204.0,257.0,1.0,,26.0,7.0,20.0,1.0,4.0,1.0,13.0,10.0,,,22.0,23.0,7.0,22.0,,,91.0,30.0,35.0,7.0,95.0,92.0,6.609999999999999,0.0,5.0,5.0,0.0,6.51,44.11,
2022_42,187.0,,4268.0,975.0,334.0,169.0,25.0,,1618.0,976.0,165.0,0.0,39.0,11.0,16.0,,4.0,,11.0,3.0,,,24.0,24.0,8.0,23.0,,,92.0,30.0,35.0,6.0,97.0,87.0,13.449999999999998,0.0,6.0,6.0,0.0,5.14,50.94,
2022_43,177.0,,9555.0,167.0,15.0,34.0,687.0,,5440.0,10.0,60.0,241.0,63.0,21.0,29.0,10.0,12.0,2.0,2.0,12.0,,,30.0,24.0,8.0,23.0,,,92.0,30.0,35.0,7.0,99.0,60.0,12.37,0.0,6.0,1.0,0.0,2.49,49.86,
2022_44,327.0,,1665.0,534.0,3.0,4.0,51.0,,524.0,31.0,2.0,3.0,36.0,4.0,29.0,,8.0,,2.0,11.0,,,30.0,24.0,8.0,25.0,,,92.0,30.0,35.0,4.0,91.0,70.0,11.02,0.0,5.0,3.0,0.0,5.38,48.52,
2022_45,115.0,36.0,1482.0,221.0,150.0,156.0,7.0,0.0,309.0,1.0,0.0,13.0,17.0,,9.0,,,,,1.0,,,31.0,26.0,8.0,25.0,,,92.0,30.0,35.0,5.0,70.0,100.0,7.369999999999999,0.0,6.0,5.0,0.0,7.26,44.86,
2022_46,215.0,,250.0,1170.0,7.0,961.0,108.0,,53.0,43.0,0.0,310.0,13.0,,4.0,1.0,1.0,,2.0,1.0,,,31.0,29.0,9.0,31.0,,,92.0,30.0,35.0,6.0,85.0,78.0,0.5899999999999999,0.0,5.0,2.0,0.0,2.47,38.09,
2022_47,275.0,98.0,575.0,109.0,72.0,840.0,13.0,0.0,45.0,3.0,0.0,7.0,11.0,,3.0,1.0,,,,2.0,,,32.0,33.0,9.0,31.0,,,92.0,31.0,35.0,3.0,77.0,57.0,9.290000000000004,0.0,5.0,3.0,0.0,2.56,46.79,
2022_48,434.0,,1875.0,685.0,77.0,,55.0,,584.0,128.0,24.0,,28.0,4.0,20.0,1.0,1.0,2.0,3.0,22.0,,,34.0,33.0,9.0,31.0,,,92.0,31.0,35.0,4.0,96.0,94.0,0.8200000000000003,0.0,5.0,7.0,0.0,18.48,38.32,
2022_49,383.0,,846.0,311.0,139.0,2063.0,149.0,,76.0,24.0,0.0,504.0,16.0,,6.0,1.0,,2.0,2.0,11.0,,,34.0,37.0,9.0,31.0,,,92.0,31.0,35.0,6.0,89.0,32.0,3.67,0.0,5.0,4.0,0.0,10.71,41.18,
2022_50,1462.0,,739.0,489.0,356.0,1037.0,62.0,,121.0,73.0,1.0,104.0,23.0,,11.0,,,1.0,1.0,8.0,,,34.0,39.0,9.0,31.0,,,92.0,32.0,35.0,2.0,97.0,72.0,4.13,0.0,7.0,5.0,0.0,5.83,41.63,
2022_51,1234.0,,513.0,138.0,132.0,2248.0,583.0,,50.0,1.0,27.0,249.0,35.0,4.0,58.0,,3.0,2.0,4.0,25.0,,,35.0,45.0,9.0,31.0,,,92.0,32.0,36.0,6.0,98.0,100.0,3.870000000000001,0.0,5.0,1.0,1.0,0.25,41.37,
2022_52,1950.0,50.0,27.0,1060.0,188.0,2722.0,902.0,0.0,10.0,211.0,79.0,1798.0,14.0,1.0,10.0,,1.0,19.0,4.0,8.0,,,35.0,46.0,10.0,32.0,,,92.0,32.0,36.0,8.0,62.0,95.0,-2.99,0.0,5.0,2.0,1.0,5.92,27.01,
2023_01,2172.0,194.0,1166.0,447.0,39.0,1156.0,2788.0,128.0,241.0,227.0,79.0,1872.0,30.0,7.0,21.0,1.0,1.0,20.0,4.0,38.0,,,35.0,50.0,10.0,32.0,,,92.0,35.0,37.0,4.0,95.0,87.0,4.319999999999999,0.0,5.0,4.0,0.0,6.5,41.8,
2023_02,1177.0,,1490.0,285.0,90.0,178.0,222.0,,464.0,7.0,9.0,25.0,34.0,2.0,13.0,3.0,1.0,3.0,5.0,3.0,12.0,,35.0,51.0,10.0,32.0,,,92.0,36.0,38.0,4.0,86.0,88.0,1.0900000000000007,0.0,5.0,6.0,0.0,15.22,38.58,
2023_03,1240,46,2244,435,291,987,359,6,419,81,57,705,41,5,22,1,,7,3,8,25,,36,53,10,32,,,92,36,38,3,82,90,0.6700000000000017,0,5,7,0,23.62,38.18,
2023_04,240,,621,1379,100,564,5,,192,308,68,131,26,2,4,2,3,32,6,5,5,,36,54,11,34,,,92,36,39,3,64,100,0.9000000000000004,0,5,5,0,12.0,38.39,
2023_05,169,3,497,382,40,734,253,3,86,193,15,684,8,2,8,,1,,2,2,4,,36,56,11,34,,,92,36,39,3,79,90,1.1000000000000005,0,4,5,0,8.56,31.11,1
